"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"FAX","Aberdeen Asia-Pacific Income Fund Inc","7.01","1829441760","1986","n/a","n/a","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=FAX&selected=FAX",
"IAF","Aberdeen Australia Equity Fund Inc","12.17","233749190","1985","n/a","n/a","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=IAF&selected=IAF",
"CH","Aberdeen Chile Fund, Inc.","21.58","219403860","n/a","n/a","n/a","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=CH&selected=CH",
"ETF","Aberdeen Emerging Markets Telecommunications and Infrastructur","18.8388","155344744.8","1992","n/a","n/a","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ETF&selected=ETF",
"FCO","Aberdeen Global Income Fund, Inc.","13.1","117782100","1992","n/a","n/a","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=FCO&selected=FCO",
"IF","Aberdeen Indonesia Fund, Inc.","12.82","106021400","1990","n/a","n/a","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=IF&selected=IF",
"ISL","Aberdeen Israel Fund, Inc.","17.932","76605504","1992","n/a","n/a","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ISL&selected=ISL",
"AXK","Accelr8 Technology Corporation","3.56","38294920","n/a","Capital Goods","Biotechnology: Laboratory Analytical Instruments","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AXK&selected=AXK",
"ACU","Acme United Corporation.","9.29","28520300","1988","Capital Goods","Industrial Machinery/Components","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ACU&selected=ACU",
"AE","Adams Resources & Energy, Inc.","28.85","121689300","n/a","Energy","Oil Refining/Marketing","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AE&selected=AE",
"ADK","Adcare Health Systems Inc","4.76","39741240","n/a","Health Care","Hospital/Nursing Management","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ADK&selected=ADK",
"ADK/WS","Adcare Health Systems Inc","2.3","0","n/a","n/a","n/a","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ADK/WS&selected=ADK/WS",
"AEN","Adeona Pharmaceuticals, Inc.","1.22","32072580","1983","Consumer Durables","Major Pharmaceuticals","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AEN&selected=AEN",
"API","Advanced Photonix, Inc.","1.65","48095850","n/a","Technology","Semiconductors","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=API&selected=API",
"ANX","ADVENTRX Pharmaceuticals, Inc.","2.2","52063000","n/a","Consumer Durables","Major Pharmaceuticals","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ANX&selected=ANX",
"ACY","AeroCentury Corp.","11.9","18361700","n/a","Technology","Diversified Commercial Services","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ACY&selected=ACY",
"AIM","Aerosonic Corporation","2.85","10681800","n/a","Capital Goods","Industrial Machinery/Components","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AIM&selected=AIM",
"AA^","Alcoa Inc.","73.5","48510000","n/a","Capital Goods","Metal Fabrications","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AA^&selected=AA^",
"AXU","Alexco Resource Corp","9.64","512741960","n/a","Basic Industries","Precious Metals","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AXU&selected=AXU",
"ANV","Allied Nevada Gold Corp","39.11","3480790000","n/a","Basic Industries","Precious Metals","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ANV&selected=ANV",
"AAU","Almaden Minerals, Ltd.","4.53","253122810","n/a","Basic Industries","Precious Metals","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AAU&selected=AAU",
"APT","Alpha Pro Tech, Ltd.","1.31","29393780","n/a","Health Care","Industrial Specialties","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=APT&selected=APT",
