"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"MMM","3M Company","92.82","66069740100","n/a","Health Care","Medical/Dental Instruments","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=MMM&selected=MMM",
"SVN","7 Days Group Holdings Limited","21.98","407750980","2009","Consumer Services","Hotels/Resorts","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=SVN&selected=SVN",
"NDN","99 Cents Only Stores","20.06","1405704500","1996","Consumer Services","Department/Specialty Retail Stores","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=NDN&selected=NDN",
"AHC","A.H. Belo Corporation","8.17","156194060","n/a","Consumer Services","Newspapers/Magazines","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AHC&selected=AHC",
"AIR","AAR Corp.","25.64","1018984880","n/a","Capital Goods","Aerospace","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AIR&selected=AIR",
"AAN","Aaron's,  Inc.","26","2083432000","n/a","Technology","Diversified Commercial Services","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AAN&selected=AAN",
"ABB","ABB Ltd","24.5","5237536500","n/a","Consumer Durables","Electrical Products","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ABB&selected=ABB",
"ABT","Abbott Laboratories","51.9","80319505800","n/a","Consumer Durables","Major Pharmaceuticals","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ABT&selected=ABT",
"ANF","Abercrombie & Fitch Company","70.01","6106902290","1996","Consumer Services","Clothing/Shoe/Accessory Stores","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ANF&selected=ANF",
"ABH","AbitibiBowater Inc.","25.94","2519681900","n/a","Basic Industries","Paper","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ABH&selected=ABH",
"ABM","ABM Industries Incorporated","24.65","1306943000","n/a","Finance","Diversified Commercial Services","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ABM&selected=ABM",
"ABVT","Abovenet Inc","65.83","1698414000","n/a","Consumer Services","Telecommunications Equipment","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ABVT&selected=ABVT",
"AKR","Acadia Realty Trust","19.54","787872340","n/a","Consumer Services","Real Estate Investment Trusts","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AKR&selected=AKR",
"ACN","Accenture plc.","54.67","35496192270","1986","Miscellaneous","Business Services","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ACN&selected=ACN",
"ABD","Acco Brands Corporation","9.51","522384300","1987","Consumer Durables","Publishing","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ABD&selected=ABD",
"AH","Accretive Health, Inc.","26.65","2535107900","2010","Consumer Services","Other Consumer Services","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AH&selected=AH",
"ACW","Accuride Corporation New","13.34","630448400","2005","Capital Goods","Auto Parts:O.E.M.","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ACW&selected=ACW",
"ACE","Ace Limited","65.88","22211112600","n/a","Finance","Property-Casualty Insurers","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ACE&selected=ACE",
"ATV","Acorn International, Inc.","5.07","67289040","2007","Consumer Services","Other Specialty Stores","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ATV&selected=ATV",
"ATU","Actuant Corporation","27.28","1871298880","n/a","Technology","Industrial Machinery/Components","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ATU&selected=ATU",
"AYI","Acuity Brands Inc","58.27","2523440620","n/a","Consumer Durables","Building Products","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AYI&selected=AYI",
"ADX","Adams Express Company (The)","11.15","960940450","n/a","n/a","n/a","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ADX&selected=ADX",
"AGRO","Adecoagro S.A.","12.37","0","1994","Consumer Non-Durables","Farming/Seeds/Milling","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AGRO&selected=AGRO",
"PVD","Administradora de Fondos de Pensiones-Provida, S.A.","80.17","400449150","1994","Finance","Property-Casualty Insurers","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=PVD&selected=PVD",
"AEA","Advance America, Cash Advance Centers, Inc.","4.93","307099560","2004","Finance","Finance: Consumer Services","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AEA&selected=AEA",
"AAP","Advance Auto Parts Inc","63.84","5039657280","1993","Consumer Services","Other Specialty Stores","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AAP&selected=AAP",
"AMD","Advanced Micro Devices, Inc.","8.27","5675684460","1972","Technology","Semiconductors","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AMD&selected=AMD",
"ASX","Advanced Semiconductor Engineering, Inc.","5.09","270329900","1996","Technology","Semiconductors","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ASX&selected=ASX",
"AAV","Advantage Oil & Gas Ltd","8.55","1402986600","n/a","Energy","Oil & Gas Production","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AAV&selected=AAV",
"ATE","Advantest Corporation (Kabushiki Kaisha Advantest) ADS","17.5","36645000","n/a","Technology","Semiconductors","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ATE&selected=ATE",
"AGC","Advent Claymore Convertible Securities and Income Fund","9.59","305614120","2007","n/a","n/a","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AGC&selected=AGC",
"AVK","Advent Claymore Convertible Securities and Income Fund","19.06","449453860","2003","n/a","n/a","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AVK&selected=AVK",
